代码,类型,名称,现价,涨跌,涨跌幅,溢折率,成交额,换手率,5日涨跌幅,年初至今,基金份额,估算规模,规模变化,管理公司,年初至今份额变动,年初至今份额变动率,IOPV,跟踪指数代码,跟踪指数名称,市盈率,市净率,上市地
511360.SH,债,短融ETF,111.872,0.01,0.0001,0,9860611695,0.2113,0.0004,0.0066,417062600,46653957036,82539948.48,海富通基金,153014000,57.94918057,0,h11014.CSI,中证短融,,,上海证券交易所
511190.SH,债,信用债ETF,100.629,0.051,0.0005,0,9828657488,1.0544,0.0016,0,92634300,9311405304,280921115.8,海富通基金,,,0,950245.CSI,沪做市公司债,,,上海证券交易所
511070.SH,债,上证公司债ETF,100.616,0.077,0.0008,0,9501405397,0.7995,0.0017,0,118151000,11871611623,404310503.2,南方基金,,,0,950245.CSI,沪做市公司债,,,上海证券交易所
511520.SH,债,政金债券ETF,115.462,0.121,0.001,0,8731336268,0.1817,0.0032,0.0037,416336500,48029244778,40357363.75,富国基金,92700000,28.64324636,0,CBA08203.CS,中债-7-10年政策性金融债全价(总值)指数,,,上海证券交易所
159395.SZ,债,信用债ETF大成,100.96,0.054,0.0005,0,8295232286,1.2699,0.0015,0,64714202,6525909558,60832182.43,大成基金,,,0,921128.CNI,深做市信用债,,,深圳证券交易所
511200.SH,债,信用债ETF基金,100.83,0.08,0.0008,0,7310278643,0.9731,0.0014,0,74507500,7501899399,383471331.5,华夏基金,,,0,950245.CSI,沪做市公司债,,,上海证券交易所
511880.SH,货,银华日利ETF,100.591,0.012,0.0001,0,6377016055,0.0814,0.0003,0.005,779138200,78366888863,-1208160.69,银华基金,169973960,27.90281321,0,,,,,上海证券交易所
511990.SH,货,华宝添益ETF,100.007,0.007,0.0001,0,6339005798,0.0791,0.0001,0,801095000,80109500000,-289230000,华宝基金,5178816.254,0.650673571,0,,,,,上海证券交易所
511110.SH,债,公司债ETF易方达,100.693,0.076,0.0008,0,5903954377,0.4889,0.0018,0,119939600,12060154665,169873268.8,易方达基金,,,0,950245.CSI,沪做市公司债,,,上海证券交易所
511090.SH,债,30年国债ETF,123.345,0.246,0.002,0,5576354911,0.3048,0.0084,0.0056,148378100,18257272341,-48650097.81,鹏扬基金,99960000,206.4517195,0,CBA21801.CS,中债-30年期国债财富(总值)指数,,,上海证券交易所
513120.SH,跨,港股创新药ETF,1.08,0.024,0.0227,-0.0045,4955669232,0.5069,0.0599,0.4897,9221635400,9778622178,-154041879,广发基金,-1699000000,-15.55770281,1.0849,931787CNY00.CSI,港股创新药(CNY),,,上海证券交易所
159396.SZ,债,信用债ETF博时,100.83,0.032,0.0003,0,3989429883,0.4995,0.0012,0,79221129,7978573799,93301255.9,博时基金,,,0,921128.CNI,深做市信用债,,,深圳证券交易所
513180.SH,跨,恒生科技指数ETF,0.716,-0.001,-0.0014,0.0049,3127016292,0.116,0,0.1718,37733759500,27206040600,458930777.3,华夏基金,150000000,0.399108556,0.7125,HSTECH.HI,恒生科技,21.9187,2.9081,上海证券交易所
159650.SZ,债,国开ETF,106.747,0.04,0.0004,-0.0001,2973922471,0.8928,0.0013,0.0031,31204196,3330564258,-39143177.71,博时基金,-19322000,-38.241549,106.757,CBA11901.CS,中债-0-3年国开行债券财富(总值)指数,,,深圳证券交易所
159398.SZ,债,信用债ETF天弘,100.785,0.025,0.0002,0,2878969502,0.4895,0.0008,0,58362310,5874761797,89963391.17,天弘基金,,,0,921128.CNI,深做市信用债,,,深圳证券交易所
511380.SH,债,可转债ETF,12.133,0.004,0.0003,-0.0006,2854734512,0.0838,0.0099,0.048,2806786700,34039025026,-44833938.02,博时基金,-514100000,-15.48080517,12.1397,931078.CSI,中证转债及可交换债,,,上海证券交易所
518880.SH,商,黄金ETF,7.481,-0.002,-0.0003,0.0004,2807696362,0.0472,0.0248,0.262,7947640800,59542135345,-132538800.5,华安基金,3097800000,63.8742616,7.4781,Au9999.SGE,SGE黄金9999,,,上海证券交易所
159351.SZ,宽,A500指数ETF,0.966,0.001,0.001,-0.0005,2768989275,0.1882,0.0021,-0.0102,15230123357,14719914225,-94033568.25,嘉实基金,2091000000,15.91430374,0.9665,000510.SH,中证A500,14.6569,1.471,深圳证券交易所
512050.SH,宽,A500ETF基金,0.941,0.001,0.0011,0.0002,2683833347,0.1691,0.0043,-0.0095,16873992200,15880114059,-325210026.5,华夏基金,-2523000000,-13.00717129,0.9408,000510.SH,中证A500,14.6569,1.471,上海证券交易所
159397.SZ,债,信用债ETF广发,100.715,0.04,0.0004,0,2670031456,0.3529,0.0011,0,75127657,7557361477,267383313.3,广发基金,,,0,921128.CNI,深做市信用债,,,深圳证券交易所
511100.SH,债,基准国债ETF,109.135,0.105,0.001,0,2612083784,5.1801,0.0043,0.0049,4620500,503651133.8,-27274765.45,华夏基金,1210000,35.47866882,0,950243.CSI,沪做市国债,,,上海证券交易所
511030.SH,债,公司债ETF,105.876,-0.017,-0.0002,0,2315980510,0.149,0.0011,0.0074,146760700,15528969808,381577.82,平安基金,-890746400,-85.85448716,0,CBC00702.CS,中债-中高等级公司债利差因子净价(总值)指数,,,上海证券交易所
513130.SH,跨,恒生科技ETF,0.704,-0.001,-0.0014,0.0034,2222162352,0.0884,-0.0014,0.1812,35718347000,25342167197,405554100.9,华泰柏瑞基金,2675000000,8.095426895,0.7016,HSTECH.HI,恒生科技,21.9187,2.9081,上海证券交易所
511010.SH,债,国债ETF,141.341,0.115,0.0008,0.0001,2150296184,0.7405,0.0028,0.0009,20546300,2902123782,1602611.4,国泰基金,5120000,33.1900715,141.3309,000140.SH,上证5年国债,,,上海证券交易所
511260.SH,债,十年国债ETF,136.339,0.109,0.0008,-0.0004,2093369535,0.5345,0.0024,0.0058,28726500,3915192138,203184026,国泰基金,9400000,48.63788063,136.3968,h01077.SH,上证10年国债(净),,,上海证券交易所
159338.SZ,宽,中证A500ETF,0.946,0.001,0.0011,0.0001,2053995099,0.1024,0.0032,-0.0094,21212086664,20066633984,-131480505.3,国泰基金,-8304000000,-28.13381088,0.9459,000510.SH,中证A500,14.6569,1.471,深圳证券交易所
159570.SZ,跨,港股通创新药ETF,1.454,0.032,0.0225,-0.0029,2048321124,0.4918,0.0652,0.513,2916597142,4144484539,109467179.4,汇添富基金,2235000000,327.9063045,1.4583,987018.CNI,港股通创新药,32.6973,3.1021,深圳证券交易所
510300.SH,宽,沪深300ETF,3.986,0.002,0.0005,0.0007,1948178948,0.0051,0.005,-0.009,95457187700,3.80235E+11,543277040.7,华泰柏瑞基金,6070500000,6.791279727,3.9833,000300.SH,沪深300,12.6549,1.3137,上海证券交易所
159352.SZ,宽,中证A500ETF南方,0.995,0.001,0.001,0.0007,1901850973,0.1144,0.004,-0.01,16725101746,16629768666,-61645733.71,南方基金,-5856000000,-25.93318991,0.9943,000510.SH,中证A500,14.6569,1.471,深圳证券交易所
511130.SH,债,30年国债ETF博时,111.264,0.221,0.002,0,1845683690,0.2407,0.0078,0.0096,68929700,7650018002,519165.11,博时基金,42638000,162.172853,0,950175.CSI,沪30年国债,,,上海证券交易所
513090.SH,跨,香港证券ETF,1.613,-0.006,-0.0037,-0.0022,1836811239,0.2419,0.034,0.0884,4695488000,7643315366,78404195.2,易方达基金,-1139000000,-19.52185007,1.6166,930709.CSI,香港证券,15.8119,0.8469,上海证券交易所
511270.SH,债,10年地方债ETF,118.276,0.133,0.0011,0,1756297201,0.9376,0.0034,0.0092,15837500,1871895891,448201.25,海富通基金,3400000,27.33668342,0,950109.SH,上证10年地债,,,上海证券交易所
159972.SZ,债,5年地债ETF,115.96,0.053,0.0005,0,1633788493,0.3883,0.0017,0.0013,36285910,4209143788,-202181177.9,鹏华基金,2410000,7.114200032,0,930865.CSI,5年地债,,,深圳证券交易所
511060.SH,债,5年地方债ETF,107.218,0.064,0.0006,0,1606482208,1.5065,0.0017,0.0029,9946300,1066018574,242689.72,海富通基金,2050000,25.96152628,0,950045.CSI,上证5年期地债,,,上海证券交易所
588000.SH,宽,科创50ETF,1.047,-0.004,-0.0038,0.0056,1570982239,0.0196,0.0067,0.0019,76709668200,80261325838,458564583.8,华夏基金,-12402000000,-13.91736935,1.0412,000688.SH,科创50,97.7553,4.5058,上海证券交易所
513330.SH,跨,恒生互联网ETF,0.484,0.003,0.0062,0.005,1509075504,0.0641,0.0062,0.1607,48809480000,23609145476,243990620,华夏基金,-16178000000,-24.89402574,0.4816,HSIII.HI,恒生互联网科技业,19.4355,2.906,上海证券交易所
513060.SH,跨,恒生医疗ETF,0.54,0.009,0.0169,-0.0037,1500079129,0.1801,0.0405,0.3846,15622893300,8336375865,-163420253.1,博时基金,-21222500000,-57.59878807,0.542,HSHCI.HI,恒生医疗保健,28.1608,2.4398,上海证券交易所
159567.SZ,跨,港股创新药ETF,1.435,0.029,0.0206,-0.0106,1456955064,0.8804,0.0583,0.5026,1172364863,1657020497,-45185770.23,银华基金,777000000,196.5273277,1.4504,987018.CNI,港股通创新药,32.6973,3.1021,深圳证券交易所
159816.SZ,债,0-4地债ETF,113.587,0.003,0,0,1431411633,0.8068,0.001,0.0007,15617484,1774183664,-36140799.46,鹏华基金,410000,2.696040976,0,931161.CSI,0-4年地债,,,深圳证券交易所
563800.SH,宽,中证A500ETF龙头,0.943,0.001,0.0011,-0.0001,1428172019,0.0803,0.0053,-0.0084,18859978100,17790617342,-178370274.5,广发基金,-3051000000,-13.92452672,0.9431,000510.SH,中证A500,14.6569,1.471,上海证券交易所
510050.SH,宽,上证50ETF,2.756,0.002,0.0007,0,1397081746,0.0085,0.0007,0.0066,59494266800,1.6399E+11,-5955293.08,华夏基金,4161600000,7.521054452,2.7559,000016.SH,上证50,10.9377,1.2004,上海证券交易所
159792.SZ,跨,港股通互联网ETF,0.853,-0.004,-0.0047,-0.0008,1396262864,0.0307,0.0047,0.2273,53420855237,46048777214,710994035,富国基金,21452000000,67.10280941,0.8537,931637.CSI,港股通互联网,23.3088,3.3043,深圳证券交易所
513050.SH,跨,中概互联网ETF,1.388,-0.008,-0.0057,-0.0092,1289815023,0.0379,-0.0007,0.1904,24489432700,34317042043,488721110.7,易方达基金,-6876000000,-21.92222268,1.4009,h30533.CSI,中国互联网50,18.4078,2.8911,上海证券交易所
511020.SH,债,国债ETF5至10年,117.346,0.1,0.0009,0,1267815936,0.8847,0.0028,0.0041,12212500,1432224601,-3206075.25,平安基金,-2520000,-17.10503988,0,931018.CSI,中证5-10年国债活跃券,,,上海证券交易所
588200.SH,主,科创芯片ETF,1.521,-0.003,-0.002,0.0006,1238299642,0.0474,0.0194,0.0389,17232894800,26237082333,573117165.2,嘉实基金,1665000000,10.69508769,1.5201,000685.SH,科创芯片,160.78,5.5097,上海证券交易所
159509.SZ,跨,纳指科技ETF,1.558,0.003,0.0019,0.0264,1143704607,0.1158,-0.0083,-0.0323,6351564118,9682959498,1524500,景顺长城基金,95000000,1.518405281,1.5179,NDXTMC.GI,纳斯达克科技市值加权,35.1407,10.1944,深圳证券交易所
159612.SZ,跨,标普500ETF,1.859,0.015,0.0081,0.1738,1112513280,1.7317,-0.0262,0.0562,346898651,552366722,,国泰基金,33000000,10.51294738,1.5838,SPX.GI,标普500,27.4182,4.9678,深圳证券交易所
159915.SZ,宽,创业板ETF,2.017,-0.006,-0.003,0.0003,1037863344,0.0125,0.0141,-0.0404,41078454936,83151008481,533064645.5,易方达基金,-2489000000,-5.71298003,2.0163,399006.SZ,创业板指,32.6842,3.7518,深圳证券交易所
511160.SH,债,国债ETF东财,100.07,0.026,0.0003,0,1034364599,0.281,0.0013,0,36780900,3681054541,-81611356.17,西藏东财基金,,,0,931552.CSI,1-3年国债,,,上海证券交易所
159740.SZ,跨,恒生科技ETF,0.704,0,0,-0.0027,992945775,0.1348,0.0014,0.1832,10476120448,7427569398,73575389.91,大成基金,2892000000,38.13230578,0.7059,HSTECH.HI,恒生科技,21.9187,2.9081,深圳证券交易所
159329.SZ,跨,沙特ETF,1.014,-0.006,-0.0059,0.0723,975442762,0.9129,0.002,-0.0078,1041689188,984187944.8,,南方基金,785500000,306.6093484,0.9456,WISAUNT.FI,富时沙特阿拉伯(里亚尔)(净总回报),,,深圳证券交易所
159892.SZ,跨,恒生医药ETF,0.692,0.005,0.0073,-0.0114,950852116,0.2261,0.0485,0.4357,6162266022,4226698264,-97660113.42,华夏基金,-2528000000,-29.09001857,0.7,HSHKBIO.HI,恒生生物科技,28.1465,2.4911,深圳证券交易所
563220.SH,宽,中证A500ETF富国,0.982,0,0,-0.0003,858737356,0.0541,0.0041,-0.0101,16157013700,15874265960,-276618550.7,富国基金,-471000000,-2.832569232,0.9823,000510.SH,中证A500,14.6569,1.471,上海证券交易所
511180.SH,债,上证可转债ETF,11.561,0.011,0.001,-0.0002,857814438,0.1464,0.0087,0.0293,506859700,5852911700,13166151.04,海富通基金,31800000,6.693895525,11.5634,950041.CSI,上证投资级转债及可交换债,,,上海证券交易所
511580.SH,债,国债政金债ETF,107.668,0.027,0.0003,0,852476153,1.539,0.0008,0.0013,5142800,553808589.4,155312.56,招商基金,-522000,-9.214800169,0,932200.CSI,国债及政金债0-3,,,上海证券交易所
159361.SZ,宽,A500ETF易方达,0.961,0.001,0.001,-0.0003,836609873,0.0587,0.0031,-0.0093,14822090279,14252922012,-34351684.02,易方达基金,-795000000,-5.090576963,0.9613,000510.SH,中证A500,14.6569,1.471,深圳证券交易所
562570.SH,主,信创ETF,1.264,-0.006,-0.0047,0.0011,827815424,0.3924,0.0161,0.0516,1670281000,2119753617,469190686.2,华夏基金,1574000000,1634.798143,1.2626,931247.CSI,中证信创,173.6377,4.7954,上海证券交易所
513980.SH,跨,港股科技50ETF,0.71,0,0,0.0044,794969597,0.0585,0.0172,0.3004,19223204000,13700377491,859062.4,景顺长城基金,8648000000,81.77620025,0.7069,931573.CSI,港股通科技,23.847,3.1905,上海证券交易所
159941.SZ,跨,纳指ETF,1.177,-0.004,-0.0034,0.0087,767653682,0.0299,-0.0159,-0.0439,21828610164,25690091302,1529970,广发基金,1049100000,5.048723438,1.1669,NDX.GI,纳斯达克100,35.8341,8.9,深圳证券交易所
512880.SH,行,证券ETF,1.068,-0.007,-0.0065,0.0003,762194851,0.0263,0.0181,-0.0872,27061291500,29128774171,-84957755.85,国泰基金,2804000000,11.55941091,1.0677,399975.SZ,证券公司,22.1085,1.3646,上海证券交易所
513010.SH,跨,恒生科技ETF易方达,0.729,-0.002,-0.0027,0.0029,737828829,0.0656,-0.0014,0.1645,15441307000,11352448906,211545905.9,易方达基金,3489000000,29.19101727,0.7269,HSTECH.HI,恒生科技,21.9187,2.9081,上海证券交易所
159934.SZ,商,黄金ETF,7.406,-0.005,-0.0007,0.0004,692715850,0.0265,0.0248,0.2619,3534762646,26224757547,46413528.72,易方达基金,1271400000,56.17305747,7.4027,Au9999.SGE,SGE黄金9999,,,深圳证券交易所
512480.SH,行,半导体ETF,1.027,0,0,0.0006,681305002,0.0301,0.0158,0.0178,22017003600,22607059296,349024267,国联安基金,-1646000000,-6.95600621,1.0264,h30184.CSI,中证全指半导体,111.9102,5.1584,上海证券交易所
159537.SZ,主,信创ETF,1.171,0.006,0.0052,0.001,663447898,0.4428,-0.0201,0.0034,1282642602,1497613502,572458901.5,国泰基金,1188000000,1255.248667,1.1698,CN5075.CNI,国证信创,79.957,4.9978,深圳证券交易所
159217.SZ,跨,港股通创新药ETF工银,1.176,0.026,0.0226,-0.0066,658697792,0.1592,0.0585,0,3589157596,4140452203,-153859894.9,工银瑞信基金,,,1.1838,987018.CNI,港股通创新药,32.6973,3.1021,深圳证券交易所
512710.SH,主,军工龙头ETF,0.624,-0.001,-0.0016,-0.0005,640742100,0.0654,0.0113,0.0065,15571658400,9727615002,115657624.2,富国基金,6179000000,65.78542237,0.6243,931066.CSI,军工龙头,64.7652,3.3946,上海证券交易所
159353.SZ,宽,中证A500ETF景顺,0.963,0.001,0.001,-0.0006,634830448,0.049,0.0031,-0.0093,13451161812,12962884638,34210350.16,景顺长城基金,-1587000000,-10.55315151,0.9636,000510.SH,中证A500,14.6569,1.471,深圳证券交易所
512100.SH,宽,中证1000ETF,2.473,-0.005,-0.002,0.0002,633493553,0.0101,0.011,0.0382,25439217600,63028205526,182814403.8,南方基金,3186000000,14.31703072,2.4724,000852.SH,中证1000,40.9,2.0938,上海证券交易所
511660.SH,货,货币ETF建信添益,100.006,0.006,0.0001,0,611965669,0.0552,0.0001,0,110799100,11079910000,90650000,建信基金,-2274165.95,-2.011232214,0,,,,,上海证券交易所
513100.SH,跨,纳指ETF,1.567,-0.004,-0.0025,0.0101,606359852,0.0408,-0.0138,-0.0381,9499110600,14856608978,,国泰基金,,,1.5514,NDX.GI,纳斯达克100,35.8341,8.9,上海证券交易所
159506.SZ,跨,恒生医疗ETF,1.202,0.022,0.0186,-0.0062,586673921,0.2995,0.059,0.4821,1656536979,1957695402,-41102093.59,富国基金,974000000,142.7028908,1.2095,HSSCHI.HI,恒生港股通医疗保健指数,33.657,3.3477,深圳证券交易所
510500.SH,宽,中证500ETF,5.785,0.001,0.0002,0.0003,584109624,0.0052,0.0101,0.0119,19300168600,1.11729E+11,583361399.8,南方基金,1807600000,10.33353101,5.7831,000905.SH,中证500,29.8503,1.8045,上海证券交易所
159636.SZ,跨,港股通科技30ETF,1.293,0.001,0.0008,0.0022,572459493,0.0258,0.0157,0.2566,17279250603,22385269156,408981988.2,工银瑞信基金,9755000000,129.6474628,1.2902,987008.CNI,港股通科技,24.8887,3.3922,深圳证券交易所
510310.SH,宽,沪深300ETF易方达,3.81,0.002,0.0005,0.0007,567278880,0.0022,0.0055,-0.0086,69087344000,2.6305E+11,372381374.8,易方达基金,5353200000,8.399265549,3.8073,000300.SH,沪深300,12.6549,1.3137,上海证券交易所
159920.SZ,跨,恒生ETF,1.462,0.003,0.0021,-0.0024,528712748,0.0331,0.0139,0.1819,10933559219,16041718086,165096744.2,华夏基金,-4552000000,-29.3951283,1.4655,HSI.HI,恒生指数,10.4385,1.1067,深圳证券交易所
513300.SH,跨,纳斯达克ETF,1.94,-0.006,-0.0031,0.0027,524444500,0.055,-0.0092,-0.0735,4919921000,9604177784,8784450,华夏基金,2264250000,85.26093782,1.9347,NDX.GI,纳斯达克100,35.8341,8.9,上海证券交易所
512660.SH,主,军工ETF,1.047,-0.005,-0.0048,-0.001,515218918,0.0359,0,0.0048,13618080000,14308516656,177409560,国泰基金,4024000000,41.94253123,1.0481,399967.SZ,中证军工,97.1181,3.1361,上海证券交易所
520500.SH,跨,恒生创新药ETF,1.489,0.026,0.0178,-0.0044,504177939,0.9392,0.0605,0.5117,366305000,535904215,-6098813.5,华泰柏瑞基金,244000000,199.5012469,1.4956,HSIDI.HI,恒生创新药,29.42,3.0355,上海证券交易所
159001.SZ,货,货币ETF,100,0.001,0,0,491101755,0.3067,0,0,3661068,366106800,29166700,易方达基金,291667,8.656345742,0,,,,,深圳证券交易所
513770.SH,跨,港股互联网ETF,1.044,-0.004,-0.0038,0.0059,490250399,0.1008,0.0029,0.2297,4667068900,4921890862,89148005.37,华宝基金,957500000,25.81162463,1.0379,931637.CSI,港股通互联网,23.3088,3.3043,上海证券交易所
562500.SH,主,机器人ETF,0.841,-0.005,-0.0059,0.0007,476481837,0.0362,-0.0047,0.081,15653687300,13238323350,376011985.1,华夏基金,10330500000,194.0660626,0.8404,h30590.CSI,机器人,65.3296,3.8832,上海证券交易所
560610.SH,宽,A500指数ETF,0.943,0,0,-0.0001,476422732,0.0474,0.0043,-0.0125,10654988400,10051916057,-20173039.44,招商基金,-3822000000,-26.40051849,0.9431,000510.SH,中证A500,14.6569,1.471,上海证券交易所
512690.SH,主,酒ETF,0.577,-0.001,-0.0017,0.0009,458430249,0.0415,-0.0187,-0.0633,19105750200,11041213041,176695075,鹏华基金,-1277100000,-6.265561428,0.5765,399987.SZ,中证酒,19.5353,4.6436,上海证券交易所
159949.SZ,宽,创业板50ETF,0.902,-0.005,-0.0055,0.0017,457039657,0.0187,0.0123,-0.0614,27152785113,24627576097,166980428,华安基金,-3979000000,-12.78114951,0.9005,399673.SZ,创业板50,31.0115,4.0677,深圳证券交易所
159529.SZ,跨,标普消费ETF,1.551,-0.014,-0.0089,0.2625,429827462,0.6869,-0.033,-0.0013,403536791,508658125.1,,景顺长城基金,91000000,29.11657207,1.2285,SP5CSSUP.SPI,标普500消费精选,,,深圳证券交易所
159538.SZ,主,信创ETF富国,1.183,0.003,0.0025,0.0002,428497287,0.4998,0.0216,0.0017,726304483,857184550.8,377378529.1,富国基金,677000000,1373.100292,1.1828,CN5075.CNI,国证信创,79.957,4.9978,深圳证券交易所
513200.SH,跨,港股通医药ETF,0.942,0.014,0.0151,-0.0051,425523784,0.1617,0.0432,0.3956,2839282100,2646210917,-105796318.5,易方达基金,-844000000,-22.91434588,0.9468,930965.CSI,港股通医药C,27.7289,2.0783,上海证券交易所
159605.SZ,跨,中概互联ETF,1.055,-0.007,-0.0066,-0.011,425395779,0.0923,-0.0047,0.1722,4354486155,4584403024,-105280000,广发基金,-3488000000,-44.47569216,1.0667,930604.CSI,中国互联网30,18.4078,2.8911,深圳证券交易所
159992.SZ,主,创新药ETF,0.795,-0.005,-0.0063,0.001,422477179,0.0435,0.0115,0.1406,12245981217,9793111179,-238799673.4,银华基金,-2011800000,-14.11018986,0.7942,931152.CSI,CS创新药,50.9495,3.6089,深圳证券交易所
563880.SH,宽,中证A500指数ETF,0.976,0,0,0,413867835,0.0757,0.0041,-0.0111,5605996400,5473694885,-12484712.6,汇添富基金,-3684000000,-39.65555896,0.976,000510.SH,中证A500,14.6569,1.471,上海证券交易所
159985.SZ,商,豆粕ETF,1.957,0.034,0.0177,0.0018,411225571,0.1504,0.0182,0.0712,1402324066,2687413840,16871370.29,华夏基金,-891600000,-38.86789512,1.9535,DCESMFI.DCE,大商所豆粕期货价格指数,,,深圳证券交易所
159937.SZ,商,黄金ETF基金,7.466,-0.004,-0.0005,0.0004,408191811,0.0142,0.0247,0.2611,3850021977,28794699368,-84537836.39,博时基金,1309800000,51.56242296,7.4627,Au9999.SGE,SGE黄金9999,,,深圳证券交易所
510330.SH,宽,沪深300ETF华夏,4.011,0.001,0.0002,0.0005,399789613,0.0021,0.0053,-0.0086,48407649800,1.94066E+11,109617203.1,华夏基金,8579700000,21.54190724,4.009,000300.SH,沪深300,12.6549,1.3137,上海证券交易所
513260.SH,跨,恒生科技ETF基金,1.363,-0.002,-0.0015,0.0058,390326620,0.0885,-0.0015,0.164,3240243000,4441401080,82302172.2,汇添富基金,1907000000,143.0346906,1.3551,HSTECH.HI,恒生科技,21.9187,2.9081,上海证券交易所
511220.SH,债,城投债ETF,10.281,0.003,0.0003,0,377610201,0.0204,0.0011,0.0097,1800681400,18494978728,205997593.3,海富通基金,463800000,34.69268104,0,h11098.SH,沪城投债,,,上海证券交易所
159851.SZ,主,金融科技ETF,1.445,-0.028,-0.019,0.0001,376497066,0.0862,0.0147,0.0077,3004452074,4418347220,110773614.4,华宝基金,-258000000,-7.908162148,1.4449,930986.CSI,金融科技,76.1895,5.028,深圳证券交易所
512670.SH,主,国防ETF,0.717,-0.002,-0.0028,-0.001,367471823,0.0729,0.0099,0.0317,6964652600,5007585219,333388131.5,鹏华基金,2697000000,63.19633421,0.7177,399973.SZ,中证国防,65.7609,3.4338,上海证券交易所
512170.SH,主,医疗ETF,0.33,-0.003,-0.009,0.0003,366151829,0.0141,0.003,0.0092,78352820500,26099324509,-180553276.9,华宝基金,1583000000,2.062008208,0.3299,399989.SZ,中证医疗,32.0762,3.3003,上海证券交易所
513780.SH,跨,港股创新药50ETF,1.382,0.028,0.0207,-0.0039,353469526,0.6203,0.0518,0.4687,419657000,569390617.6,-5006786.4,景顺长城基金,287500000,217.5442844,1.3874,931250.CSI,港股通创新药,30.4442,2.6641,上海证券交易所
512010.SH,行,医药ETF,0.373,-0.003,-0.008,-0.0003,350394291,0.0168,0.0027,0.0332,55871694900,21007757282,-170077545.7,易方达基金,-8296000000,-12.928624,0.3731,000913.SH,300医药,27.3031,3.4107,上海证券交易所
159869.SZ,主,游戏ETF,1.16,-0.011,-0.0094,0.0017,349114701,0.0512,0.0311,0.1588,5889082127,6885514823,236692268.6,华夏基金,486000000,8.994866052,1.158,930901.CSI,动漫游戏,74.8736,3.3643,深圳证券交易所
510880.SH,策,红利ETF,3.124,0,0,0.0003,347082120,0.0173,0.0051,-0.0242,6419675700,20037733762,-123880427.5,华泰柏瑞基金,-575500000,-8.22709857,3.123,000015.SH,红利指数,7.2999,0.7373,上海证券交易所
159813.SZ,主,半导体ETF,0.777,0.001,0.0013,0.0013,345087747,0.0704,0.0144,-0.0127,6320862410,4899300454,50803145.23,鹏华基金,-426000000,-6.314046057,0.776,980017.CNI,国证芯片(CNI),107.0766,5.1666,深圳证券交易所
159595.SZ,宽,中证A50ETF基金,1.14,-0.002,-0.0018,-0.0012,338800446,0.0697,-0.0052,-0.0087,4258113255,4864894394,-9445896.141,大成基金,-2147000000,-33.52009425,1.1414,930050.CSI,中证A50,17.7506,2.0012,深圳证券交易所
588030.SH,宽,科创100指数ETF,0.983,0.002,0.002,-0.001,336506789,0.0512,0.0208,0.0959,6695838100,6576652182,38543647.7,博时基金,-1689000000,-20.14350164,0.984,000698.SH,科创100,285.854,4.4102,上海证券交易所
159819.SZ,主,人工智能ETF,0.936,0.002,0.0021,0.0041,333587402,0.0205,0.0241,0.0286,17431229669,16226731699,232785683.8,易方达基金,8057000000,85.9483956,0.9322,930713.CSI,CS人工智,66.4936,4.8268,深圳证券交易所
512000.SH,行,券商ETF,1.021,-0.007,-0.0068,0.0003,320132629,0.0141,0.0179,-0.0884,22238717700,22883640513,24494929.92,华宝基金,1056000000,4.985196021,1.0207,399975.SZ,证券公司,22.1085,1.3646,上海证券交易所
513160.SH,跨,港股科技30ETF,1.081,0.002,0.0019,0.0018,313994764,0.2913,0.0065,0.1699,999189300,1083720715,18678135.79,银华基金,844000000,543.8519279,1.0791,HSSCT.HI,恒生港股通中国科技,22.7901,2.9923,上海证券交易所
159995.SZ,主,芯片ETF,1.21,0.002,0.0017,0.0011,313453262,0.013,0.0142,-0.0131,19967963006,24107321737,343440305.2,华夏基金,-1334200000,-6.263213739,1.2087,980017.CNI,国证芯片(CNI),107.0766,5.1666,深圳证券交易所
560530.SH,宽,中证A500ETF摩根,0.972,0.001,0.001,-0.0002,311194225,0.0397,0.0052,-0.009,8068623700,7846736548,4984182.95,摩根基金,-3531000000,-30.44064266,0.9722,000510.SH,中证A500,14.6569,1.471,上海证券交易所
520600.SH,跨,港股汽车ETF,1.196,-0.004,-0.0033,0.0023,302155501,0.4896,0.005,0.2292,516868000,623807989.2,2739400.4,广发基金,339500000,191.4099499,1.1933,931239.CSI,港股通汽车,21.4877,1.8636,上海证券交易所
515400.SH,主,大数据ETF,0.854,0.002,0.0023,0.0014,301597976,0.1177,0.0203,0.0191,3007631400,2560697374,493484049.2,富国基金,1665000000,124.0102086,0.8528,930902.CSI,中证数据,340.317,4.0962,上海证券交易所
159649.SZ,债,国开债ETF,107.939,0.053,0.0005,-0.0003,298394350,0.0592,0.0012,0.0014,46681877,5038332971,-16149135.14,华安基金,-17600000,-27.37941209,107.9695,CBA08301.CS,中债-1-5年国开行债券财富(总值)指数,,,深圳证券交易所
512800.SH,行,银行ETF,1.638,0.005,0.0031,0.0002,287406668,0.034,0.0212,0.103,5153840000,8413128416,118799632,华宝基金,109500000,2.170749791,1.6376,399986.SZ,中证银行,6.6734,0.6778,上海证券交易所
588080.SH,宽,科创板50ETF,1.021,-0.004,-0.0039,0.0052,286478663,0.0047,0.0069,0.0069,60115628100,61347998476,540131909.1,易方达基金,1980000000,3.40582886,1.0157,000688.SH,科创50,97.7553,4.5058,上海证券交易所
