代码,类型,名称,现价,涨跌,涨跌幅,溢折率,成交额,换手率,5日涨跌幅,年初至今,基金份额,估算规模,规模变化,管理公司,年初至今份额变动,年初至今份额变动率,IOPV,跟踪指数代码,跟踪指数名称,市盈率,市净率,上市地
516520.SH,主,智能驾驶ETF,1.053,-0.007,-0.0066,-0.0004,10425565,0.0297,-0.0168,0.0253,333765500,354425584.5,3349177.65,华泰柏瑞基金,100000000,42.77791205,1.0534,930721.CSI,CS智汽车,34.7333,3.1278,上海证券交易所
159207.SZ,策,高股息ETF,1.05,-0.001,-0.001,0.0022,10356996,0.0273,0.0019,0,361983345,379141355.6,3928684.905,广发基金,,,1.0477,932305.CSI,智选高股息,8.3038,1.0388,深圳证券交易所
159512.SZ,主,汽车ETF,1.367,-0.007,-0.0051,0.0003,10296187,0.1596,-0.0284,-0.0298,47264855,64866287,127615.1085,广发基金,-32000000,-40.37098157,1.3666,931008.CSI,汽车指数,25.441,2.3135,深圳证券交易所
517400.SH,主,黄金股票ETF,1.148,0.017,0.015,-0.0008,10274542,0.0746,0.0324,0.3364,119792000,135808190.4,-5648193.6,国泰基金,45000000,60.16686277,1.1489,931238.CSI,SSH黄金股票,19.1597,2.4424,上海证券交易所
159663.SZ,主,机床ETF,1.109,-0.004,-0.0036,0.0014,10236809,0.1294,0.0045,0.1013,71517585,79527554.52,1201495.428,华夏基金,-4000000,-5.296779551,1.1075,931866.CSI,中证机床,46.5339,4.0324,深圳证券交易所
563900.SH,策,沪深300自由现金流ETF摩根,1.031,0.003,0.0029,-0.0013,10208804,0.0547,0.001,0,180965700,185887967,-289545.12,摩根基金,,,1.0323,932366.CSI,300现金流,13.7549,1.7768,上海证券交易所
159715.SZ,主,稀土ETF易方达,0.727,-0.002,-0.0027,-0.0012,10153157,0.0518,0.0254,0.0916,268530274,196107659.1,135528.6166,易方达基金,-60500000,-18.38736578,0.7279,930598.CSI,稀土产业,35.0027,2.0867,深圳证券交易所
159239.SZ,主,恒生汽车ETF,0.986,-0.006,-0.006,-0.0055,10111726,0.0524,0.001,0,195780753,195702440.7,161406.4427,富国基金,,,0.9915,HSSCAM.HI,恒生港股通汽车主题,25.8657,2.2405,深圳证券交易所
515390.SH,宽,沪深300ETF指数基金,1.103,0,0,0.0002,10061518,0.0177,0.0055,-0.0099,514683000,567746817.3,-11815155.9,华安基金,-204000000,-28.3852547,1.1028,000300.SH,沪深300,12.6549,1.3137,上海证券交易所
589990.SH,宽,科创综指ETF华泰柏瑞,0.958,0.001,0.001,0.0026,9988843,0.0154,0.0148,0,678090000,648525276,7526799,华泰柏瑞基金,,,0.9555,000680.SH,科创综指,174.0407,3.9142,上海证券交易所
